OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
38368,OSKALOOSA IA,1393,WM Supercenter,Retail,2203 AVENUE A WEST,OSKALOOSA,MAHASKA,IA,52577-1965,Open,5e7d2761-4a14-4c51-bf57-4eadb01a8cac,-10315961.961,5056492.1802
38369,GREENFIELD WI,1394,WM Supercenter,Retail,10600 W LAYTON AVE,GREENFIELD,MILWAUKEE,WI,53228-3258,Open,d3bc7bf7-0445-4a13-8952-b88a95ffb6c3,-9801039.2962,5305912.3433
38370,CENTRALIA IL,1395,WM Supercenter,Retail,1212 W MCCORD ST,CENTRALIA,CLINTON,IL,62801-5648,Open,c6eae111-4f7c-4cec-9928-06d1ed6b582e,-9924752.3421,4655280.8792
38371,BARABOO WI,1396,WM Supercenter,Retail,920 STATE ROAD 136,BARABOO,SAUK,WI,53913-9254,Open,6e2a6f92-f0c2-426e-ad2a-74488d64f4c2,-9993432.5495,5382023.1276
38372,ALBQUERQUE (NW) NM,1397,WM Supercenter,Retail,10224 COORS BYP NW,ALBUQUERQUE,BERNALILLO,NM,87114-4398,Open,7720628f-142f-48e7-970a-9229950d652f,-11872972.5393,4191691.4628
38373,LAKE WORTH FL,1398,WM Supercenter,Retail,4545 HYPOLUXO RD,LAKE WORTH,PALM BEACH,FL,33463-7508,Open,8ebd5b89-022b-4c1e-9224-6233e1848924,-8918301.5603,3070465.0053
38374,BEDFORD VA,1399,WM Supercenter,Retail,1126 E LYNCHBURG SALEM TPKE,BEDFORD,BEDFORD,VA,24523-3446,Open,c8b3f936-b43b-4aa5-9037-bb0eb3ff1fa5,-8849562.3313,4484640.1629
38375,ATHENS GA,1400,WM Supercenter,Retail,1911 EPPS BRIDGE PKWY,ATHENS,OCONEE,GA,30606-6130,Open,fad94a66-f18d-42b8-95c4-c9d088a49476,-9289109.9011,4018043.8369
38376,NAPERVILLE IL,1401,WM Supercenter,Retail,2552 W 75TH ST,NAPERVILLE,DUPAGE,IL,60564-7572,Open,0a04464c-771c-4bd1-a5ae-7c1fa477538f,-9818180.3827,5122895.9327
38377,CORNELIA GA,1403,WM Supercenter,Retail,250 FURNITURE DR,CORNELIA,HABERSHAM,GA,30531-5388,Open,2300c0a8-3903-4bae-a7bf-01f56fe55cf3,-9298713.4335,4101057.1433
38378,LAKE ZURICH IL,1404,WM Supercenter,Retail,820 S RAND RD,LAKE ZURICH,LAKE,IL,60047-2465,Open,f7006ad2-e98f-4031-812f-ca8a54eeec77,-9805859.2075,5188884.1438
38379,"BAY CITY, TX",1405,WM Supercenter,Retail,4600 7TH ST,BAY CITY,MATAGORDA,TX,77414-8743,Open,d0d66773-8330-4460-8f9b-2e5313ddd5f8,-10679383.8083,3373587.2264
38380,WINCHESTER VA,1406,WM Supercenter,Retail,2350 S PLEASANT VALLEY RD,WINCHESTER,WINCHESTER CITY,VA,22601-7006,Open,cd0b3e31-dacd-42f6-9eff-689233fa8af9,-8702115.6583,4744021.6902
38381,LEBANON OH,1407,WM Supercenter,Retail,1530 WALMART DR,LEBANON,WARREN,OH,45036-7342,Open,ffc5935a-6b31-4e2f-9f5e-f7b36c86b13c,-9370034.8294,4787209.6754
38382,TALLAHASSEE(W) FL,1408,WM Supercenter,Retail,4400 W TENNESSEE ST,TALLAHASSEE,LEON,FL,32304-1029,Open,f3261c34-40ec-41b5-b95e-ee58d5ad0ecf,-9390827.8631,3563069.1349
38383,HOUSTON TX,1409,WM Supercenter,Retail,10750 WESTVIEW DR,HOUSTON,HARRIS,TX,77043-5019,Open,d1d2b3a9-500f-4bfe-bd08-e4c08264fa66,-10638231.3303,3476999.209
